City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kamina,-8.7386,24.9906,72.84,80,18,5.64,CD,1615014396
Punta Arenas,-53.15,-70.9167,55.0,82,90,10.36,CL,1615014397
Carnarvon,-24.8667,113.6333,82.4,78,0,14.97,AU,1615014397
Necochea,-38.5473,-58.7368,48.0,94,14,3.58,AR,1615014397
Busselton,-33.65,115.3333,77.0,73,100,1.99,AU,1615014398
Ifanadiana,-21.3,47.6333,76.39,77,95,2.8,MG,1615014398
Ushuaia,-54.8,-68.3,50.0,81,75,4.61,AR,1615014398
Jamestown,42.097,-79.2353,27.0,97,90,11.9,US,1615014398
Ponta do Sol,32.6667,-17.1,57.99,59,64,5.01,PT,1615014399
Vestmannaeyjar,63.4427,-20.2734,42.8,85,99,1.68,IS,1615014399
Hobyo,5.3505,48.5268,81.39,63,100,19.84,SO,1615014400
Glasgow,55.8652,-4.2576,36.0,80,90,3.44,GB,1615014112
São João da Barra,-21.6403,-41.0511,76.32,84,100,9.91,BR,1615014311
Sept-Îles,50.2001,-66.3821,21.2,68,90,13.8,CA,1615014362
Bredasdorp,-34.5322,20.0403,66.2,88,0,3.44,ZA,1615014401
Cayenne,4.9333,-52.3333,79.0,94,90,11.03,GF,1615014401
Longyearbyen,78.2186,15.6401,6.8,66,20,27.63,SJ,1615014401
Sengiley,53.9622,48.7944,19.4,79,0,11.18,RU,1615014402
Kabare,-2.4683,28.8242,69.89,79,98,1.52,CD,1615014402
Nanortalik,60.1432,-45.2371,32.41,92,100,12.57,GL,1615014402
Goderich,43.7501,-81.7165,28.4,74,100,16.11,CA,1615014403
Bonito,-21.1211,-56.4819,68.59,90,89,5.08,BR,1615014403
Clyde River,70.4692,-68.5914,-20.2,76,1,17.27,CA,1615014196
Upernavik,72.7868,-56.1549,-14.37,87,100,13.85,GL,1615014403
Tarime,-1.35,34.3667,75.2,64,75,5.48,TZ,1615014404
Saint Anthony,45.0205,-93.218,30.0,80,1,3.15,US,1615014404
Nouadhibou,20.931,-17.0347,60.8,82,0,24.16,MR,1615014404
Portobelo,9.55,-79.65,71.01,75,32,3.0,PA,1615014405
Kabompo,-13.5927,24.2008,70.99,82,0,3.69,ZM,1615014405
Olafsvik,64.8945,-23.7142,40.19,82,77,11.79,IS,1615014406
Narón,43.5167,-8.1528,52.0,100,75,11.83,ES,1615014406
Mar del Plata,-38.0023,-57.5575,64.0,64,100,3.0,AR,1615014406
Altamira,-3.2033,-52.2064,72.19,98,100,1.99,BR,1615014406
Sistranda,63.7256,8.834,39.2,87,75,29.93,NO,1615014407
Kudahuvadhoo,2.6708,72.8944,82.56,77,30,10.02,MV,1615014407
George Town,5.4112,100.3354,86.0,65,20,8.05,MY,1615014407
Maracaibo,10.6317,-71.6406,77.77,83,14,7.58,VE,1615014408
Cape Town,-33.9258,18.4232,68.0,72,75,10.36,ZA,1615014410
Codrington,-38.2667,141.9667,60.78,69,73,14.58,AU,1615014410
Ribeira Grande,38.5167,-28.7,60.24,88,100,11.36,PT,1615014410
Dunmore East,52.1514,-6.9861,42.01,70,100,5.01,IE,1615014411
La Baule-Escoublac,47.2922,-2.364,32.0,80,0,10.36,FR,1615014411
Hermanus,-34.4187,19.2345,71.01,75,0,1.01,ZA,1615014411
Igrim,63.1906,64.4162,10.4,95,100,3.51,RU,1615014412
Garoowe,8.4054,48.4845,81.7,28,38,13.4,SO,1615014309
Mpulungu,-8.7623,31.1141,75.67,71,100,1.77,ZM,1615014412
Cidreira,-30.1811,-50.2056,69.17,87,10,10.38,BR,1615014412
Wamba,8.9333,8.6,77.88,21,61,3.0,NG,1615014413
Fes,34.0372,-4.9998,50.0,93,75,3.44,MA,1615014388
Bloomingdale,27.8936,-82.2404,59.0,77,1,4.61,US,1615014414
Saint George,37.1041,-113.5841,57.2,19,1,4.61,US,1615014415
Qaanaaq,77.484,-69.3632,-16.94,67,0,3.98,GL,1615014415
Alikalia,9.1667,-11.4,67.95,97,12,2.28,SL,1615014416
São Filipe,14.8961,-24.4956,70.02,78,73,10.6,CV,1615014417
Ābyek,36.0667,50.55,50.0,49,0,16.11,IR,1615014417
Springfield,37.2153,-93.2982,36.0,55,1,4.61,US,1615014417
Pozo Colorado,-23.4923,-58.7972,71.1,70,0,3.58,PY,1615014418
Honningsvåg,70.9821,25.9704,30.2,97,100,9.51,NO,1615014418
Luau,-10.7073,22.2247,71.85,85,25,2.28,AO,1615014418
Bambous Virieux,-20.3428,57.7575,86.0,62,40,11.5,MU,1615014419
Anloga,5.7947,0.8973,82.4,83,20,6.91,GH,1615014205
Kargasok,59.0556,80.8572,28.54,98,100,13.02,RU,1615014419
Dikson,73.5069,80.5464,-27.4,86,87,12.93,RU,1615014420
Alta Floresta,-9.8756,-56.0861,70.56,97,83,0.65,BR,1615014420
Port Elizabeth,-33.918,25.5701,71.6,78,20,10.36,ZA,1615014420
Vestmanna,62.1564,-7.1664,42.8,87,75,12.66,FO,1615014421
Siaya,0.0612,34.2882,78.84,47,89,6.17,KE,1615014421
Porto-Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1615014421
Ilulissat,69.2167,-51.1,19.4,86,90,10.36,GL,1615014422
Zatoka,46.0725,30.4654,33.8,80,75,13.42,UA,1615014422
Scottsboro,34.6723,-86.0341,43.0,44,100,7.65,US,1615014297
Stornoway,58.2093,-6.3865,41.0,87,75,14.97,GB,1615014423
Coquimbo,-29.9533,-71.3436,59.0,94,0,1.14,CL,1615014423
East London,-33.0153,27.9116,69.8,83,75,9.22,ZA,1615014424
Nioki,-2.7167,17.6833,70.02,97,100,5.77,CD,1615014424
Rio Verde de Mato Grosso,-18.9181,-54.8442,70.45,96,100,5.1,BR,1615014424
Jalu,29.0331,21.5482,63.27,29,0,18.01,LY,1615014425
Lüderitz,-26.6481,15.1594,75.06,34,0,9.98,NA,1615014425
Jacqueville,5.2052,-4.4146,75.2,100,20,12.12,CI,1615014426
Lebu,-37.6167,-73.65,55.11,93,6,7.11,CL,1615014426
Grand Gaube,-20.0064,57.6608,84.99,69,100,5.99,MU,1615014426
Port Alfred,-33.5906,26.891,73.99,81,0,8.99,ZA,1615014427
Vastseliina,57.7303,27.2932,17.6,79,0,2.24,EE,1615014427
Kruisfontein,-34.0033,24.7314,73.99,70,0,1.99,ZA,1615014427
Hambantota,6.1241,81.1185,91.4,62,40,8.05,LK,1615014428
Izhma,65.0083,53.9113,-4.52,90,100,4.65,RU,1615014428
Mossamedes,-15.1961,12.1522,75.2,73,0,8.05,AO,1615014428
Antofagasta,-23.65,-70.4,64.4,88,0,1.14,CL,1615014428
Kajaani,64.2273,27.7285,15.8,86,100,13.8,FI,1615014429
Juradó,7.1053,-77.7641,72.61,82,0,6.26,CO,1615014429
Maniitsoq,65.4167,-52.9,26.8,98,93,6.67,GL,1615014429
Tandaltī,13.0167,31.8667,79.88,17,0,15.08,SD,1615014430
Bathsheba,13.2167,-59.5167,77.0,69,40,16.11,BB,1615014430
Iralaya,15.0,-83.2333,74.77,74,4,5.55,HN,1615014430
Salalah,17.0151,54.0924,86.0,42,0,5.75,OM,1615014431
Korla,41.7597,86.1469,50.7,44,2,1.52,CN,1615014431
Saint-Philippe,-21.3585,55.7679,87.8,58,0,10.36,RE,1615014432
Chui,-33.6971,-53.4616,65.21,79,100,6.93,UY,1615014432
Santa Cruz,30.4202,-9.5982,55.4,100,20,10.36,MA,1615014257
Ust'-Kulom,61.6864,53.6902,3.49,92,100,4.81,RU,1615014433
Gilgit,35.9221,74.3087,47.53,44,100,1.57,PK,1615014433
Walvis Bay,-22.9575,14.5053,68.0,94,48,9.22,NA,1615014421
Morro da Fumaça,-28.6508,-49.21,66.52,94,41,4.68,BR,1615014434
Lagoa,39.05,-27.9833,58.93,84,100,12.66,PT,1615014434
Saint-François,46.4154,3.9054,35.01,93,90,1.14,FR,1615014434
Hithadhoo,-0.6,73.0833,84.13,59,0,2.59,MV,1615014435
Suşehri,40.1644,38.0867,39.31,64,3,4.07,TR,1615014435
Luxor,25.6989,32.6421,59.0,44,0,4.61,EG,1615014364
Bonavista,48.6499,-53.1147,32.0,80,0,8.05,CA,1615014435
Arraial do Cabo,-22.9661,-42.0278,77.65,86,92,4.38,BR,1615014281
Vagay,57.9375,69.0217,16.83,96,100,11.61,RU,1615014436
Methóni,36.8197,21.7049,57.0,81,20,2.53,GR,1615014436
Bytów,54.1706,17.4919,33.01,95,11,5.01,PL,1615014339
Mirandopólis,-21.1336,-51.1017,68.61,99,100,8.43,BR,1615014437
Kirkland Lake,48.1446,-80.0377,10.4,72,100,11.54,CA,1615014437
Westport,41.1415,-73.3579,32.0,47,90,10.36,US,1615014438
Itarema,-2.9248,-39.9167,77.79,83,55,8.61,BR,1615014438
Cockburn Town,21.4612,-71.1419,77.7,73,3,1.54,TC,1615014439
Puerto Lempira,15.2667,-83.7667,70.07,79,0,3.38,HN,1615014439
Crawfordsville,40.0411,-86.8745,28.99,64,1,6.22,US,1615014223
Bereda,43.2686,-7.5406,41.0,100,94,3.0,ES,1615014440
Traverse City,44.7631,-85.6206,30.2,69,20,8.05,US,1615014143
